0,5,5
10,13,13
20,22,21
30,30,29
40,38,37
50,47,47
60,56,56
70,67,67
80,77,78
90,88,89
100,98,97
110,107,108
120,116,115
130,127,127
140,137,138
150,147,149
160,157,158
170,167,167
180,176,179
190,189,188
200,255,198
210,,207
220,,218
230,,228
240,,239
250,,249
260,,259
270,,268
280,,278
290,,288
300,,298
310,,307
320,,319
330,,328
340,,338
350,,344
360,,356
370,,369
380,,490
390,,510
400,,510
